State,IMR
United States,5.98
Alabama,8.88
Alaska,5.1
Arizona,5.78
Arkansas,7.07
California,4.45
Colorado,4.56
Connecticut,5.25
Delaware,7.62
District of Columbia,7.87
Florida,6.13
Georgia,6.23
Hawaii,4.85
Idaho,5.44
Illinois,6.51
Indiana,6.7
Iowa,5.32
Kansas,6.3
Kentucky,7.19
Louisiana,8.13
Maine,6.95
Maryland,6.35
Massachusetts,4.21
Michigan,6.93
Minnesota,5.02
Mississippi,8.9
Missouri,6.6
Montana,5.94
Nebraska,4.66
Nevada,4.93
New Hampshire,4.21
New Jersey,4.44
New Mexico,6.8
New York,5.01
North Carolina,7.39
North Dakota,6.33
Ohio,7.47
Oklahoma,7.53
Oregon,5.35
Pennsylvania,7.05
Rhode Island,6.5
South Carolina,7.49
South Dakota,8.34
Tennessee,7.24
Texas,5.83
Utah,4.82
Vermont,4.33
Virginia,6.48
Washington,5.26
West Virginia,7.15
Wisconsin,5.68
Wyoming,5.55
