State,IMR
United States,5.82
Alabama,8.67
Alaska,6.67
Arizona,6.1
Arkansas,7.48
California,4.32
Colorado,4.79
Connecticut,4.82
Delaware,6.74
District of Columbia,7.47
Florida,6.11
Georgia,7.52
Hawaii,4.47
Idaho,5.33
Illinois,6.58
Indiana,7.08
Iowa,4.76
Kansas,6.2
Kentucky,7.12
Louisiana,7.52
Maine,6.62
Maryland,6.49
Massachusetts,4.32
Michigan,6.46
Minnesota,5.01
Mississippi,8.18
Missouri,6.12
Montana,5.79
Nebraska,5.08
Nevada,5.52
New Hampshire,4.39
New Jersey,4.39
New Mexico,5.22
New York,4.62
North Carolina,7.14
North Dakota,5.11
Ohio,6.88
Oklahoma,8.21
Oregon,5.09
Pennsylvania,5.89
Rhode Island,4.43
South Carolina,6.44
South Dakota,5.7
Tennessee,6.87
Texas,5.85
Utah,4.91
Vermont,4.57
Virginia,5.65
Washington,4.48
West Virginia,6.95
Wisconsin,5.72
Wyoming,6.37
