State,HCE
United States,"$7,535 "
Alabama,"$6,821 "
Alaska,"$10,130 "
Arizona,"$6,183 "
Arkansas,"$6,804 "
California,"$7,018 "
Colorado,"$6,306 "
Connecticut,"$9,300 "
Delaware,"$9,433 "
District of Columbia,"$11,223 "
Florida,"$7,635 "
Georgia,"$6,009 "
Hawaii,"$6,803 "
Idaho,"$6,380 "
Illinois,"$7,665 "
Indiana,"$7,848 "
Iowa,"$7,648 "
Kansas,"$7,477 "
Kentucky,"$7,289 "
Louisiana,"$7,303 "
Maine,"$9,001 "
Maryland,"$8,115 "
Massachusetts,"$10,071 "
Michigan,"$7,637 "
Minnesota,"$8,177 "
Mississippi,"$7,369 "
Missouri,"$7,758 "
Montana,"$7,645 "
Nebraska,"$7,979 "
Nevada,"$6,026 "
New Hampshire,"$9,048 "
New Jersey,"$8,269 "
New Mexico,"$6,771 "
New York,"$9,076 "
North Carolina,"$7,073 "
North Dakota,"$8,977 "
Ohio,"$8,072 "
Oklahoma,"$7,175 "
Oregon,"$7,119 "
Pennsylvania,"$8,632 "
Rhode Island,"$8,961 "
South Carolina,"$6,853 "
South Dakota,"$8,335 "
Tennessee,"$7,007 "
Texas,"$6,559 "
Utah,"$5,543 "
Vermont,"$9,302 "
Virginia,"$7,145 "
Washington,"$7,461 "
West Virginia,"$8,764 "
Wisconsin,"$8,061 "
Wyoming,"$7,833 "
