"","State","Employer.Only","Medicaid.Only","Uninsured","HCE","Household_Income","IMR","ObesityRate","White","Black","Hispanic","Asian","Two.Or.More.Races","SmokingRate","emi_pc","pi_pc","Year","ID","dixieSouth","southeast"
"39","Oregon",0.47,0.12,0.16,"$6,971 ","57,653",4.56,26.7,0.78,"0.02",0.12,"0.04","0.03",19.7,9.6,37821,"2011",38,0,0
"40","Pennsylvania",0.53,0.12,0.1,"$8,432 ","55,845",6.49,28.6,0.79,"0.1",0.06,"0.03","0.02",22.4,19.4,44210,"2011",39,0,0
"41","Rhode Island",0.54,0.11,0.11,"$8,782 ","54,864",6.39,25.4,0.76,"0.05",0.13,"0.03","0.03",20,10.5,44675,"2011",40,0,0
"42","South Carolina",0.45,0.13,0.17,"$6,707 ","44,850",7.32,30.8,0.64,"0.28",0.05,"0.01","0.01",23.1,17,34077,"2011",41,1,1
"43","South Dakota",0.5,0.09,0.12,"$8,065 ","52,838",6.08,28.1,0.85,"0.01",0.03,"0.01","0.02",23,17.8,44618,"2011",42,0,0
"44","Tennessee",0.46,0.14,0.15,"$6,742 ","47,306",7.44,29.2,0.76,"0.16",0.05,"0.01","0.02",23,16.6,37627,"2011",43,0,0
"45","Texas",0.45,0.14,0.23,"$6,328 ","54,879",5.66,30.4,0.45,"0.11",0.38,"0.04","0.02",19.2,23.2,41244,"2011",44,1,0
"46","Utah",0.58,0.08,0.15,"$5,341 ","62,092",5.49,24.4,0.8,"0.01",0.13,"0.02","0.02",11.8,22.8,34200,"2011",45,0,0
"47","Vermont",0.51,0.17,0.07,"$8,874 ","58,029",4.94,25.4,0.94,"0.01",0.01,"0.01","0.02",19.1,9.3,43790,"2011",46,0,0
"48","Virginia",0.55,0.08,0.13,"$6,877 ","70,062",6.79,29.2,0.65,"0.19",0.08,"0.06","0.03",20.9,12.3,47775,"2011",47,1,1
"49","Washington",0.5,0.11,0.14,"$7,119 ","63,610",4.55,26.5,0.72,"0.03",0.12,"0.07","0.04",17.5,10.1,44709,"2011",48,0,0
"50","West Virginia",0.46,0.14,0.15,"$8,268 ","46,794",6.56,32.4,0.94,"0.03",0.01,"0.01","0.02",28.6,52.7,34131,"2011",49,1,1
