"","State","Employer.Only","Medicaid.Only","Uninsured","HCE","Household_Income","IMR","ObesityRate","White","Black","Hispanic","Asian","Two.Or.More.Races","SmokingRate","emi_pc","pi_pc","Year","ID","dixieSouth","southeast"
"123","Georgia",0.47,0.13,0.16,"$6,587 ","52,614",7.52,30.5,0.54,"0.31",0.09,"0.04","0.02",17.4,13.8,39795,"2014",11,1,1
"133","Hawaii",0.55,0.12,0.05,"$7,299 ","75,619",4.47,22.1,0.22,"0.02",0.1,"0.37","0.2",14.1,12.9,47246,"2014",12,0,0
"143","Idaho",0.46,0.1,0.13,"$6,927 ","56,737",5.33,28.9,0.83,"0.01",0.12,"0.01","0.02",15.9,10.2,37896,"2014",13,0,0
"153","Illinois",0.52,0.15,0.1,"$8,262 ","58,306",6.58,29.3,0.62,"0.14",0.17,"0.05","0.02",16.5,18,49444,"2014",14,0,0
"163","Indiana",0.53,0.12,0.12,"$8,300 ","51,027",7.08,32.7,0.8,"0.09",0.06,"0.02","0.02",22.9,31.1,41099,"2014",15,0,0
"173","Iowa",0.54,0.12,0.06,"$8,200 ","61,379",4.76,30.9,0.87,"0.03",0.06,"0.02","0.01",18.5,26.3,44799,"2014",16,0,0
"183","Kansas",0.53,0.1,0.11,"$7,651 ","56,743",6.2,31.3,0.77,"0.05",0.11,"0.02","0.03",18.1,24,46874,"2014",17,0,0
"193","Kentucky",0.47,0.17,0.09,"$8,004 ","45,427",7.12,31.6,0.86,"0.07",0.03,"0.01","0.02",26.2,31.2,37584,"2014",18,1,1
"203","Louisiana",0.45,0.16,0.15,"$7,815 ","45,024",7.52,34.9,0.6,"0.32",0.05,"0.02","0.02",24,43.3,42684,"2014",19,1,1
"215","Maine",0.47,0.14,0.1,"$9,531 ","54,902",6.62,28.2,0.94,"0.01",0.01,"0.01","0.02",19.3,12.5,41818,"2014",20,0,0
"223","Maryland",0.56,0.13,0.08,"$8,602 ","80,867",6.49,29.6,0.52,"0.29",0.09,"0.06","0.03",14.6,10.3,54687,"2014",21,0,0
"233","Massachusetts",0.57,0.16,0.03,"$10,559 ","67,049",4.32,23.3,0.74,"0.06",0.11,"0.06","0.03",14.7,9.4,59954,"2014",22,0,0
"243","Michigan",0.5,0.14,0.08,"$8,055 ","55,215",6.46,30.7,0.76,"0.14",0.05,"0.03","0.02",21.2,16.3,41147,"2014",23,0,0
"253","Minnesota",0.57,0.12,0.06,"$8,871 ","71,395",5.01,27.6,0.81,"0.06",0.05,"0.05","0.02",16.3,17.4,50254,"2014",24,0,0
"263","Mississippi",0.41,0.17,0.14,"$7,646 ","37,714",8.18,35.5,0.58,"0.37",0.02,"0.01","0.01",23,21.4,34545,"2014",25,1,1
"273","Missouri",0.51,0.1,0.12,"$8,107 ","60,126",6.12,30.2,0.8,"0.11",0.04,"0.02","0.02",20.6,21.7,41775,"2014",26,1,0
"283","Montana",0.44,0.11,0.14,"$8,221 ","54,256",5.79,26.4,0.87,"0.01",0.03,"0.01","0.02",19.9,31.3,41900,"2014",27,0,0
"293","Nebraska",0.54,0.09,0.09,"$8,412 ","60,380",5.08,30.2,0.81,"0.05",0.1,"0.02","0.02",17.3,27.7,48948,"2014",28,0,0
"303","Nevada",0.49,0.12,0.15,"$6,714 ","52,954",5.52,27.7,0.51,"0.08",0.28,"0.08","0.04",17,13.1,41484,"2014",29,0,0
"315","New Hampshire",0.58,0.08,0.09,"$9,589 ","77,928",4.39,27.4,0.91,"0.01",0.03,"0.02","0.02",17.5,11.3,52673,"2014",30,0,0
"323","New Jersey",0.56,0.12,0.11,"$8,859 ","69,270",4.39,26.9,0.57,"0.13",0.19,"0.09","0.02",15.1,12.7,58655,"2014",31,0,0
"333","New Mexico",0.37,0.22,0.15,"$7,214 ","49,568",5.22,28.4,0.39,"0.02",0.48,"0.02","0.01",19.2,24,37182,"2014",32,0,0
"343","New York",0.5,0.18,0.09,"$9,778 ","57,662",4.62,27,0.56,"0.14",0.19,"0.08","0.02",14.4,8.6,56743,"2014",33,0,0
"353","North Carolina",0.44,0.14,0.13,"$7,264 ","49,672",7.14,29.7,0.64,"0.21",0.09,"0.02","0.02",19.1,12.8,40064,"2014",34,1,1
"363","North Dakota",0.58,0.07,0.08,"$9,851 ","64,479",5.11,32.2,0.87,"0.02",0.02,"0.01","0.01",19.9,79.3,56316,"2014",35,0,0
"373","Ohio",0.53,0.15,0.08,"$8,712 ","52,708",6.88,32.6,0.8,"0.12",0.03,"0.02","0.02",21,20,42754,"2014",36,0,0
"383","Oklahoma",0.45,0.13,0.15,"$7,627 ","50,113",8.21,33,0.67,"0.07",0.1,"0.02","0.07",21.1,27,45540,"2014",37,1,0
"393","Oregon",0.46,0.17,0.1,"$8,044 ","62,509",5.09,27.9,0.77,"0.02",0.12,"0.04","0.04",17,9.6,42483,"2014",38,0,0
"403","Pennsylvania",0.53,0.11,0.09,"$9,258 ","58,579",5.89,30.2,0.78,"0.1",0.07,"0.03","0.02",19.9,19.2,48431,"2014",39,0,0
"415","Rhode Island",0.51,0.16,0.07,"$9,551 ","62,252",4.43,27,0.74,"0.05",0.14,"0.03","0.03",16.3,10.1,48165,"2014",40,0,0
"423","South Carolina",0.44,0.14,0.14,"$7,311 ","47,702",6.44,32.1,0.64,"0.27",0.05,"0.01","0.02",21.5,15.4,37622,"2014",41,1,1
"433","South Dakota",0.5,0.09,0.1,"$8,933 ","56,328",5.7,29.8,0.84,"0.02",0.03,"0.01","0.03",18.6,18.2,46959,"2014",42,0,0
"443","Tennessee",0.46,0.15,0.12,"$7,372 ","46,415",6.87,31.2,0.75,"0.17",0.05,"0.02","0.02",24.2,15.8,40801,"2014",43,0,0
"453","Texas",0.46,0.13,0.19,"$6,998 ","57,201",5.85,31.9,0.43,"0.11",0.39,"0.04","0.02",14.5,22.9,46289,"2014",44,1,0
"463","Utah",0.58,0.08,0.12,"$5,982 ","67,296",4.91,25.7,0.79,"0.01",0.13,"0.02","0.02",9.7,22.2,38517,"2014",45,0,0
"473","Vermont",0.48,0.19,0.05,"$10,190 ","64,455",4.57,24.8,0.93,"0.01",0.01,"0.02","0.02",16.4,9.4,47802,"2014",46,0,0
"483","Virginia",0.54,0.08,0.11,"$7,556 ","70,239",5.65,28.5,0.63,"0.19",0.09,"0.06","0.03",19.5,12.5,50754,"2014",47,1,1
"493","Washington",0.5,0.14,0.09,"$7,913 ","62,714",4.48,27.3,0.7,"0.03",0.12,"0.08","0.05",15.3,10.2,51518,"2014",48,0,0
"503","West Virginia",0.45,0.19,0.09,"$9,462 ","41,993",6.95,35.7,0.93,"0.03",0.01,"0.01","0.02",26.7,54.1,36153,"2014",49,1,1
"513","Wisconsin",0.55,0.12,0.07,"$8,702 ","61,665",5.72,31.2,0.82,"0.06",0.06,"0.03","0.02",17.4,17.6,44939,"2014",50,0,0
"523","Wyoming",0.54,0.08,0.12,"$8,320 ","59,128",6.37,29.5,0.84,"0.01",0.1,"0.01","0.02",19.5,112,56708,"2014",51,0,0
